name,category,address,lat,lon
Seu del Districte de Nou Barris,otro,Pl Major de Nou Barris 1,41.437,2.171
Parròquia de la Mare de Déu de Lourdes,Parròquia,C Font Honrada 33,41.373,2.156
Círculo Ecuestre,otro,C Balmes 169,41.396,2.154
Museu,Museu,Avinguda de Miramar 1,41.368,2.16
Museu de Pintura Contemporània Can Framis,Museu,Carrer de Roc Boronat 116,41.403,2.195
Parròquia de Sant Pere de les Puel·les,Parròquia,Pl Sant Pere nan,41.389,2.179
Escola Superior d'Administració i Direcció d'Empreses  URL,Escola,Av Pedralbes 60,41.394,2.115
Jardins del Palau de Pedralbes,Jardins,Av Diagonal 686,41.387,2.118
Casa Lamadrid,otro,Girona 113,41.397,2.168
Casa Garriga Nogués,otro,Diputació 250,41.389,2.165
Centre Esportiu Municipal Piscines Bernat Picornell,Centre,Av Estadi 30,41.366,2.151
TAMAIA Viure Sense Violencia S.C.C.L.,otro,C Ripoll 25,41.386,2.175
Roca Barcelona Gallery,otro,C Joan Güell 211,41.387,2.129
Platja del Bogatell,Platja,Pg Marítim del Bogatell 80,41.395,2.207
Casal d'Entitats Mas Guinardó,otro,Plaça de Salvador Riera 2,41.418,2.174
Associació de Comerciants i Professionals Barnavasi,otro,C Septimània 31,41.405,2.148
Forn de Pa de Can Tur,otro,Virgili 74,41.432,2.193
Museu Olímpic i de l'Esport Joan Antoni Samaranch de Barcelona,Museu,Avinguda de l'Estadi 60,41.366,2.157
Museu,Museu,Carrer d'Aragó 255,41.392,2.164
Escultura David i Goliat Homenatge a les Brigades Internacionals,otro,Rbla Carmel 46,41.425,2.158
Telefèric de Barcelona,otro,Pg Joan Borbó C Barcelona 88,41.373,2.188
Jardins de Can Sentmenat,Jardins,C Can Caralleu 6,41.403,2.115
Parc del Laberint d'Horta,Parc,Passeig dels Castanyers 1,41.438,2.148
Parc del Guinardó,Parc,Garriga i Roca 1,41.419,2.17
Parc del Turó de la Peira,Parc,Passeig de Fabra i Puig 396,41.433,2.163
Centre Cívic Can Castelló,Centre,Carrer de Castelló 1,41.399,2.14
Jardins de Vil·la Amèlia,Jardins,Carrer d'Eduardo Conde 22,41.394,2.121
Park Güell,otro,Carrer d'Olot 7,41.414,2.153
Universitat Oberta de Catalunya,otro,Rambla del Poblenou 154,41.406,2.194
MUHBA Museu d'Història de Barcelona  Casa de l'Aigua,Museu,Carretera de Ribes 103,41.455,2.19
Centre Municipal de Cultura Popular de Sant Andreu,Centre,C Arquímedes 30,41.441,2.188
Centre Cívic Casa Golferichs,Centre,Gran Via de les Corts Catalanes 491,41.381,2.156
Museu Nacional d'Art de Catalunya,Museu,C Mirador Palau Nacional 6,41.369,2.153
El Campus Mundet  UB,otro,Pg Vall d'Hebron 173,41.436,2.147
La llera del riu Besòs,otro,Pl Turó de la Trinitat 1,41.455,2.191
Reial Acadèmia de Ciències i Arts de Barcelona,otro,C la Rambla 115,41.384,2.171
El Gòtic,destacat,C Paradís 1,41.383,2.177
