date,sound_level_mean,lat,lon
2019-10-13,67.64,41.395,2.153
2019-10-14,66.41,41.395,2.153
2019-10-15,68.3,41.395,2.153
2019-10-16,67.16,41.395,2.153
2019-10-17,67.78,41.395,2.153
2019-10-18,67.44,41.395,2.153
2019-10-19,67.07,41.395,2.153
2019-10-20,67.26,41.395,2.153
2019-10-21,67.29,41.395,2.153
2019-10-22,68.36,41.395,2.153
2019-10-23,69.69,41.395,2.153
2019-10-24,68.16,41.395,2.153
2019-10-25,68.72,41.395,2.153
2019-10-26,68.59,41.395,2.153
2019-10-27,67.55,41.395,2.153
2019-10-28,67.41,41.395,2.153
2019-10-29,67.78,41.395,2.153
2019-10-30,67.78,41.395,2.153
2019-10-31,67.38,41.395,2.153
2019-11-01,67.82,41.395,2.153
2019-11-02,67.23,41.395,2.153
2019-11-03,66.98,41.395,2.153
2019-11-04,66.88,41.395,2.153
2019-11-05,67.03,41.395,2.153
2019-11-06,67.32,41.395,2.153
2019-11-07,67.23,41.395,2.153
2019-11-08,68.05,41.395,2.153
2019-11-09,68.27,41.395,2.153
2019-11-10,68.53,41.395,2.153
2019-11-11,66.89,41.395,2.153
2019-11-12,66.86,41.395,2.153
2019-11-13,67.15,41.395,2.153
2019-11-14,68.76,41.395,2.153
2019-11-15,68.59,41.395,2.153
2019-11-16,68.67,41.395,2.153
2019-11-17,67.58,41.395,2.153
2019-11-18,67.31,41.395,2.153
2019-11-19,67.24,41.395,2.153
2019-11-20,67.73,41.395,2.153
2019-11-21,68.07,41.395,2.153
2019-11-22,69.63,41.395,2.153
2019-11-23,69.31,41.395,2.153
2019-11-24,67.86,41.395,2.153
2019-11-25,67.44,41.395,2.153
2019-11-26,67.76,41.395,2.153
2019-11-27,67.5,41.395,2.153
2019-11-28,67.89,41.395,2.153
2019-11-29,68.56,41.395,2.153
2019-11-30,68.97,41.395,2.153
2019-12-01,67.82,41.395,2.153
2019-12-02,67.82,41.395,2.153
2019-12-03,67.62,41.395,2.153
2019-12-04,69.51,41.395,2.153
2019-12-05,69.42,41.395,2.153
2019-12-06,68.65,41.395,2.153
2019-12-07,68.15,41.395,2.153
2019-12-08,67.9,41.395,2.153
2019-12-09,67.51,41.395,2.153
2019-12-10,67.43,41.395,2.153
2019-12-11,68.02,41.395,2.153
2019-12-12,67.82,41.395,2.153
2019-12-13,68.69,41.395,2.153
2019-12-14,69.33,41.395,2.153
2019-12-15,68.04,41.395,2.153
2019-12-16,67.76,41.395,2.153
2019-12-17,67.46,41.395,2.153
2019-12-18,68.33,41.395,2.153
2019-12-19,67.94,41.395,2.153
2019-12-20,69.85,41.395,2.153
2019-12-21,69.81,41.395,2.153
2019-12-22,67.79,41.395,2.153
2019-12-23,67.52,41.395,2.153
2019-12-24,67.65,41.395,2.153
2019-12-25,66.4,41.395,2.153
2019-12-26,65.66,41.395,2.153
2019-12-27,67.81,41.395,2.153
